case_id,model,industry,subject,scene,score,status,notes,image
FTV-47,wan2.7-image,Film & TV,Greek island mystery,Island harbor suspect board poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-47.png
FTV-48,qwen-image-2.0-pro,Film & TV,Portuguese music drama,Fado club production still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-48.png
FTV-48,wan2.7-image,Film & TV,Portuguese music drama,Fado club production still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-48.png
FTV-49,qwen-image-2.0-pro,Film & TV,Dutch teen sci-fi,Canal house lab set design,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-49.png
FTV-49,wan2.7-image,Film & TV,Dutch teen sci-fi,Canal house lab set design,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-49.png
FTV-50,qwen-image-2.0-pro,Film & TV,Sami arctic drama,Reindeer migration night scene,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-50.png
FTV-50,wan2.7-image,Film & TV,Sami arctic drama,Reindeer migration night scene,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-50.png
FTV-51,qwen-image-2.0-pro,Film & TV,Inuit survival thriller,Arctic research station key frame,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-51.png
FTV-51,wan2.7-image,Film & TV,Inuit survival thriller,Arctic research station key frame,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-51.png
FTV-52,qwen-image-2.0-pro,Film & TV,Quebec comedy,Winter apartment ensemble thumbnail,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-52.png
FTV-52,wan2.7-image,Film & TV,Quebec comedy,Winter apartment ensemble thumbnail,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-52.png
FTV-53,qwen-image-2.0-pro,Film & TV,Argentine tango noir,Buenos Aires dance hall poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-53.png
FTV-53,wan2.7-image,Film & TV,Argentine tango noir,Buenos Aires dance hall poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-53.png
FTV-54,qwen-image-2.0-pro,Film & TV,Chile mining drama,Atacama rescue operations board,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-54.png
FTV-54,wan2.7-image,Film & TV,Chile mining drama,Atacama rescue operations board,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-54.png
FTV-55,qwen-image-2.0-pro,Film & TV,Peruvian Andes magical realism,Mountain village key art,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-55.png
FTV-55,wan2.7-image,Film & TV,Peruvian Andes magical realism,Mountain village key art,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-55.png
FTV-56,qwen-image-2.0-pro,Film & TV,Colombian newsroom drama,Bogota investigative newsroom still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-56.png
FTV-56,wan2.7-image,Film & TV,Colombian newsroom drama,Bogota investigative newsroom still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-56.png
FTV-57,qwen-image-2.0-pro,Film & TV,Cuban music period drama,Havana recording studio still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-57.png
FTV-57,wan2.7-image,Film & TV,Cuban music period drama,Havana recording studio still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-57.png
FTV-58,qwen-image-2.0-pro,Film & TV,Jamaican dancehall drama,Kingston street dance key frame,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-58.png
FTV-58,wan2.7-image,Film & TV,Jamaican dancehall drama,Kingston street dance key frame,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-58.png
FTV-59,qwen-image-2.0-pro,Film & TV,Pacific island climate drama,Storm evacuation ensemble still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-59.png
FTV-59,wan2.7-image,Film & TV,Pacific island climate drama,Storm evacuation ensemble still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-59.png
FTV-60,qwen-image-2.0-pro,Film & TV,Vietnamese period drama,Imperial court costume sheet,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-60.png
FTV-61,qwen-image-2.0-pro,Film & TV,Malaysian food drama,Night market cooking still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-61.png
FTV-61,wan2.7-image,Film & TV,Malaysian food drama,Night market cooking still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-61.png
FTV-62,qwen-image-2.0-pro,Film & TV,Singapore legal thriller,Court corridor character poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-62.png
FTV-62,wan2.7-image,Film & TV,Singapore legal thriller,Court corridor character poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-62.png
FTV-63,qwen-image-2.0-pro,Film & TV,Hong Kong police thriller,Neon alley chase storyboard,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-63.png
FTV-63,wan2.7-image,Film & TV,Hong Kong police thriller,Neon alley chase storyboard,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-63.png
FTV-64,qwen-image-2.0-pro,Film & TV,Taiwan family drama,Apartment balcony relationship poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-64.png
FTV-64,wan2.7-image,Film & TV,Taiwan family drama,Apartment balcony relationship poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-64.png
FTV-65,qwen-image-2.0-pro,Film & TV,Mongolian frontier drama,Steppe horse camp key frame,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-65.png
FTV-65,wan2.7-image,Film & TV,Mongolian frontier drama,Steppe horse camp key frame,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-65.png
FTV-66,qwen-image-2.0-pro,Film & TV,Kazakh road movie,Desert highway car interior still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-66.png
FTV-66,wan2.7-image,Film & TV,Kazakh road movie,Desert highway car interior still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-66.png
FTV-67,qwen-image-2.0-pro,Film & TV,Uzbek silk road historical,Market set extension frame,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-67.png
FTV-67,wan2.7-image,Film & TV,Uzbek silk road historical,Market set extension frame,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-67.png
FTV-68,qwen-image-2.0-pro,Film & TV,Pakistani social drama,Lahore wedding family still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-68.png
FTV-68,wan2.7-image,Film & TV,Pakistani social drama,Lahore wedding family still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-68.png
FTV-69,qwen-image-2.0-pro,Film & TV,Bangladeshi river drama,Monsoon ferry ensemble still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-69.png
FTV-69,wan2.7-image,Film & TV,Bangladeshi river drama,Monsoon ferry ensemble still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-69.png
FTV-70,qwen-image-2.0-pro,Film & TV,Ethiopian historical drama,Highland palace council scene,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-70.png
FTV-70,wan2.7-image,Film & TV,Ethiopian historical drama,Highland palace council scene,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-70.png
FTV-71,qwen-image-2.0-pro,Film & TV,Moroccan noir,Casablanca rooftop thriller still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-71.png
FTV-71,wan2.7-image,Film & TV,Moroccan noir,Casablanca rooftop thriller still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-71.png
FTV-72,qwen-image-2.0-pro,Film & TV,South African township detective,Johannesburg community case still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-72.png
FTV-72,wan2.7-image,Film & TV,South African township detective,Johannesburg community case still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-72.png
FTV-73,qwen-image-2.0-pro,Film & TV,Kenyan tech thriller,Nairobi startup surveillance board,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-73.png
FTV-73,wan2.7-image,Film & TV,Kenyan tech thriller,Nairobi startup surveillance board,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-73.png
FTV-74,qwen-image-2.0-pro,Film & TV,Roma family road drama,Traveling music family poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-74.png
FTV-74,wan2.7-image,Film & TV,Roma family road drama,Traveling music family poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-74.png
MKT-08,wan2.7-image,Advertising & E-commerce,Food delivery,App campaign key visual (no text),4,rerun-kept,Rerun: removed unwanted fake text,assets/wan2.7-image_MKT-08.png
FTV-05,wan2.7-image,Film & TV,Japanese sports anime,Basketball anime team key visual blank title,4,rerun-kept,Rerun: blank title area replaces misspelled Japanese title,assets/wan2.7-image_FTV-05.png
FTV-15,wan2.7-image,Film & TV,Turkish dizi,Historic waterfront romance key art blank title,4,rerun-kept,Rerun: blank title area replaces misspelled Turkish title,assets/wan2.7-image_FTV-15.png
FTV-26,wan2.7-image,Film & TV,Mexican supernatural mystery,Day of the Dead mystery poster blank title,4,rerun-kept,Rerun: blank title area replaces misspelled Spanish title,assets/wan2.7-image_FTV-26.png
FTV-31,wan2.7-image,Film & TV,Arab Gulf luxury drama,Dubai corporate family poster blank title,4,rerun-kept,Rerun: blank title area replaces unreliable Arabic title,assets/wan2.7-image_FTV-31.png
MKT-14,qwen-image-2.0-pro,Advertising & E-commerce,Social commerce,UGC lifestyle ad frame (no text),4,rerun-kept,Rerun: removed unwanted fake text,assets/qwen-image-2.0-pro_MKT-14.png
MKT-12,qwen-image-2.0-pro,Advertising & E-commerce,Consumer electronics,Arabic electronics campaign blank title,4,rerun-kept,Rerun: blank title area replaces unreliable Arabic text,assets/qwen-image-2.0-pro_MKT-12.png
MKT-12,wan2.7-image,Advertising & E-commerce,Consumer electronics,Arabic electronics campaign blank title,4,rerun-kept,Rerun: blank title area replaces unreliable Arabic text,assets/wan2.7-image_MKT-12.png
FTV-11,qwen-image-2.0-pro,Film & TV,Middle Eastern historical drama,Arabic historical palace poster blank title,4,rerun-kept,Rerun: blank title area replaces unreliable Arabic title,assets/qwen-image-2.0-pro_FTV-11.png
FTV-11,wan2.7-image,Film & TV,Middle Eastern historical drama,Arabic historical palace poster blank title,4,rerun-kept,Rerun: blank title area replaces unreliable Arabic title,assets/wan2.7-image_FTV-11.png
FTV-18,qwen-image-2.0-pro,Film & TV,Thai BL drama,University romance character poster blank title,4,rerun-kept,Rerun: blank title area replaces uncertain Thai text,assets/qwen-image-2.0-pro_FTV-18.png
FTV-18,wan2.7-image,Film & TV,Thai BL drama,University romance character poster blank title,4,rerun-kept,Rerun: blank title area replaces uncertain Thai text,assets/wan2.7-image_FTV-18.png
STEM-08,qwen-image-2.0-pro,Education,Biology,Photosynthesis process blank labels,4,rerun-kept,Rerun: blank callouts replace misspelled biology labels,assets/qwen-image-2.0-pro_STEM-08.png
STEM-08,wan2.7-image,Education,Biology,Photosynthesis process blank labels,4,rerun-kept,Rerun: blank callouts replace misspelled biology labels,assets/wan2.7-image_STEM-08.png
STEM-09,qwen-image-2.0-pro,Education,Biology,DNA replication blank labels,4,rerun-kept,Rerun: blank callouts replace unreliable DNA labels,assets/qwen-image-2.0-pro_STEM-09.png
STEM-09,wan2.7-image,Education,Biology,DNA replication blank labels,4,rerun-kept,Rerun: blank callouts replace unreliable DNA labels,assets/wan2.7-image_STEM-09.png
FTV-29,wan2.7-image,Film & TV,,,1,deleted,Deleted: repeated unwanted labels after reruns,assets/wan2.7-image_FTV-29.png
FTV-60,wan2.7-image,Film & TV,,,1,deleted,Deleted: repeated unwanted labels after reruns,assets/wan2.7-image_FTV-60.png
