collection,industry,case_id,subject,scene,model,status,image,prompt,reference_image,reference_url,tags
Advertising & E-commerce,Advertising & E-commerce,MKT-11,Multilingual ad,Spanish sneaker sale banner (Spanish),wan2.7-image,ok,assets/wan2.7-image_MKT-11.png,"Use Image 1 as the exact product reference. Preserve the shoe's color blocking, sole shape, lace structure, and silhouette while removing brand emphasis. Create a Spanish ecommerce campaign banner layout with warm orange and white studio background, energetic retail composition, and clean negative space for Spanish headline. Keep the product recognizable. No readable text.",assets/reference/MKT-11_reference.jpg,https://commons.wikimedia.org/wiki/File:Salomon_trail_running_shoes_women_Speedcross.jpg,Advertising & E-commerce; Multilingual ad; Reference-driven; Poster & Key Art
Advertising & E-commerce,Advertising & E-commerce,MKT-13,Multilingual ad,Chinese home appliance poster (Chinese),qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_MKT-13.png,"Create a Chinese ecommerce poster for a fictional smart desk lamp in a modern workspace. Cool white light, clean desk, laptop and notebook props, premium productivity aesthetic. Include exactly this Chinese headline: 「让灵感更明亮」. No logo, no other readable text. Realistic commercial product photography.",,,Advertising & E-commerce; Multilingual ad; Poster & Key Art
Advertising & E-commerce,Advertising & E-commerce,MKT-13,Multilingual ad,Chinese home appliance poster (Chinese),wan2.7-image,ok,assets/wan2.7-image_MKT-13.png,"Create a Chinese ecommerce poster for a fictional smart desk lamp in a modern workspace. Cool white light, clean desk, laptop and notebook props, premium productivity aesthetic. Include exactly this Chinese headline: 「让灵感更明亮」. No logo, no other readable text. Realistic commercial product photography.",,,Advertising & E-commerce; Multilingual ad; Poster & Key Art
Advertising & E-commerce,Advertising & E-commerce,MKT-14,Social commerce,UGC lifestyle ad frame (English),wan2.7-image,ok,assets/wan2.7-image_MKT-14.png,"Create a realistic user-generated-content style ecommerce ad frame for a fictional insulated travel mug. A young adult hand holds the mug near a train station cafe table, natural candid lighting, authentic lifestyle photography, shallow depth of field, social ad composition, no visible brand, no readable text, space at bottom for caption overlay.",,,Advertising & E-commerce; Social commerce
Film & TV,Film & TV,FTV-02,US prestige drama,Cinematic interrogation storyboard,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-02.png,"Create a 3-panel widescreen storyboard contact sheet for a US prestige crime drama interrogation scene. Panel 1 wide establishing shot through one-way glass, Panel 2 over-the-shoulder detective questioning a suspect, Panel 3 close-up of the suspect under harsh fluorescent light. Realistic casting diversity, restrained color grade, natural acting, clear cinematic blocking, blank caption bars under each panel, no readable text.",,,Film & TV; Crime; Drama; Storyboard; Lighting Study; No-text production asset
Film & TV,Film & TV,FTV-02,US prestige drama,Cinematic interrogation storyboard,wan2.7-image,ok,assets/wan2.7-image_FTV-02.png,"Create a 3-panel widescreen storyboard contact sheet for a US prestige crime drama interrogation scene. Panel 1 wide establishing shot through one-way glass, Panel 2 over-the-shoulder detective questioning a suspect, Panel 3 close-up of the suspect under harsh fluorescent light. Realistic casting diversity, restrained color grade, natural acting, clear cinematic blocking, blank caption bars under each panel, no readable text.",,,Film & TV; Crime; Drama; Storyboard; Lighting Study; No-text production asset
Film & TV,Film & TV,FTV-03,Chinese short drama,Vertical costume microdrama poster,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-03.png,"Create a vertical key poster for a Chinese costume short drama. A young noblewoman in pale green Hanfu stands before a palace gate at dusk, holding a jade hairpin; a shadowed prince is behind her. Romantic revenge mood, premium short-drama poster composition, elegant title space. Include only this Chinese title in clean calligraphy: 「玉簪归来」. No extra text, no logos.",,,Film & TV; China; Romance; Drama; Poster & Key Art; Costume Design; Chinese text; Multilingual text test
Film & TV,Film & TV,FTV-03,Chinese short drama,Vertical costume microdrama poster,wan2.7-image,ok,assets/wan2.7-image_FTV-03.png,"Create a vertical key poster for a Chinese costume short drama. A young noblewoman in pale green Hanfu stands before a palace gate at dusk, holding a jade hairpin; a shadowed prince is behind her. Romantic revenge mood, premium short-drama poster composition, elegant title space. Include only this Chinese title in clean calligraphy: 「玉簪归来」. No extra text, no logos.",,,Film & TV; China; Romance; Drama; Poster & Key Art; Costume Design; Chinese text; Multilingual text test
Film & TV,Film & TV,FTV-04,Chinese donghua,Donghua xianxia character line art sheet,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-04.png,"Create a Chinese donghua xianxia character design line-art sheet for animation production. One young male cultivator with long hair, layered robes, sword tassel, and cloud motifs. Show front view, side view, back view, weapon detail, and two gesture poses. Clean black line art with light blue construction lines, white background, blank label spaces, consistent proportions, no text.",,,Film & TV; China; Character Design; Line Art; No-text production asset
Film & TV,Film & TV,FTV-04,Chinese donghua,Donghua xianxia character line art sheet,wan2.7-image,ok,assets/wan2.7-image_FTV-04.png,"Create a Chinese donghua xianxia character design line-art sheet for animation production. One young male cultivator with long hair, layered robes, sword tassel, and cloud motifs. Show front view, side view, back view, weapon detail, and two gesture poses. Clean black line art with light blue construction lines, white background, blank label spaces, consistent proportions, no text.",,,Film & TV; China; Character Design; Line Art; No-text production asset
Film & TV,Film & TV,FTV-06,Japanese live-action drama,Rainy station drama still,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-06.png,"Create a realistic Japanese live-action drama still at a small suburban train station during evening rain. A middle-aged woman and her adult son stand apart under separate transparent umbrellas, emotional silence, warm vending machine glow, wet platform reflections, natural acting, 50mm lens, subtle film grain, production-still realism. No readable signage, no logos.",,,Film & TV; Japan; Drama; Production Still; Transparent Asset
Film & TV,Film & TV,FTV-06,Japanese live-action drama,Rainy station drama still,wan2.7-image,ok,assets/wan2.7-image_FTV-06.png,"Create a realistic Japanese live-action drama still at a small suburban train station during evening rain. A middle-aged woman and her adult son stand apart under separate transparent umbrellas, emotional silence, warm vending machine glow, wet platform reflections, natural acting, 50mm lens, subtle film grain, production-still realism. No readable signage, no logos.",,,Film & TV; Japan; Drama; Production Still; Transparent Asset
Film & TV,Film & TV,FTV-07,Korean drama,K-drama character poster,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-07.png,"Create a vertical character poster for a Korean romantic thriller drama. A Korean prosecutor in a dark suit stands in neon rain outside a courthouse, conflicted expression, city bokeh, elegant noir lighting, premium streaming key art. Include exactly one Korean title near the bottom: 「비밀의 증언」. Leave clean space for billing block but no extra text or logos.",,,Film & TV; Korea; Poland; Thriller; Romance; Drama; Noir; Poster & Key Art; Lighting Study; Korean text; Multilingual text test
Film & TV,Film & TV,FTV-07,Korean drama,K-drama character poster,wan2.7-image,ok,assets/wan2.7-image_FTV-07.png,"Create a vertical character poster for a Korean romantic thriller drama. A Korean prosecutor in a dark suit stands in neon rain outside a courthouse, conflicted expression, city bokeh, elegant noir lighting, premium streaming key art. Include exactly one Korean title near the bottom: 「비밀의 증언」. Leave clean space for billing block but no extra text or logos.",,,Film & TV; Korea; Poland; Thriller; Romance; Drama; Noir; Poster & Key Art; Lighting Study; Korean text; Multilingual text test
Film & TV,Film & TV,FTV-08,British period drama,Manor house candlelit production still,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-08.png,"Create a cinematic production still for a British period mystery drama set in 1910. Multiracial household staff and aristocrats gather in a candlelit manor dining room after a shocking announcement. Accurate Edwardian-inspired wardrobe, practical candlelight, layered blocking, restrained performances, painterly but realistic cinematography, no readable text, no modern props.",,,Film & TV; UK; Drama; Period drama; Mystery; Production Still; Costume Design; Lighting Study; No-text production asset; Diverse casting
Film & TV,Film & TV,FTV-08,British period drama,Manor house candlelit production still,wan2.7-image,ok,assets/wan2.7-image_FTV-08.png,"Create a cinematic production still for a British period mystery drama set in 1910. Multiracial household staff and aristocrats gather in a candlelit manor dining room after a shocking announcement. Accurate Edwardian-inspired wardrobe, practical candlelight, layered blocking, restrained performances, painterly but realistic cinematography, no readable text, no modern props.",,,Film & TV; UK; Drama; Period drama; Mystery; Production Still; Costume Design; Lighting Study; No-text production asset; Diverse casting
Film & TV,Film & TV,FTV-09,Latin American telenovela,Telenovela relationship poster,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-09.png,"Create a vertical poster for a contemporary Latin American family telenovela. A Latina matriarch stands between two rival siblings in a sunlit hacienda courtyard, emotional tension, warm color grade, elegant wardrobe, polished streaming drama key art. Include exactly one Spanish title: “Herencia de Fuego”. Leave a clean billing area, no logos, no extra text.",,,Film & TV; Latin America; USA; Spain; Family drama; Drama; Poster & Key Art; Spanish text; Multilingual text test
Film & TV,Film & TV,FTV-09,Latin American telenovela,Telenovela relationship poster,wan2.7-image,ok,assets/wan2.7-image_FTV-09.png,"Create a vertical poster for a contemporary Latin American family telenovela. A Latina matriarch stands between two rival siblings in a sunlit hacienda courtyard, emotional tension, warm color grade, elegant wardrobe, polished streaming drama key art. Include exactly one Spanish title: “Herencia de Fuego”. Leave a clean billing area, no logos, no extra text.",,,Film & TV; Latin America; USA; Spain; Family drama; Drama; Poster & Key Art; Spanish text; Multilingual text test
Film & TV,Film & TV,FTV-10,African diaspora drama,Afrofuturist limited series scene,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-10.png,"Create a cinematic still for an Afrofuturist limited series set in a near-future coastal West African city. A Black female engineer examines a glowing clean-energy artifact in a community workshop, woven textiles beside advanced devices, respectful cultural detail, realistic faces, rich natural light, grounded production design, premium sci-fi drama tone. No text, no logos.",,,Film & TV; African diaspora; Drama; Sci-fi; Production Still; Set Design; No-text production asset
Film & TV,Film & TV,FTV-10,African diaspora drama,Afrofuturist limited series scene,wan2.7-image,ok,assets/wan2.7-image_FTV-10.png,"Create a cinematic still for an Afrofuturist limited series set in a near-future coastal West African city. A Black female engineer examines a glowing clean-energy artifact in a community workshop, woven textiles beside advanced devices, respectful cultural detail, realistic faces, rich natural light, grounded production design, premium sci-fi drama tone. No text, no logos.",,,Film & TV; African diaspora; Drama; Sci-fi; Production Still; Set Design; No-text production asset
Film & TV,Film & TV,FTV-13,Animation props,Transparent background fantasy prop sheet,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-13.png,"Create an animation prop sheet on a plain transparent-looking checker-free white background: eight separate fantasy props for a streaming animated series, including enchanted compass, brass lantern, folded map, crystal vial, wooden mask, ancient key, travel satchel, and small mechanical bird. Clean isolated objects, consistent hand-painted style, sharp silhouettes, production-ready asset spacing, no text.",,,Film & TV; Fantasy; Props; Transparent Asset; No-text production asset
Film & TV,Film & TV,FTV-13,Animation props,Transparent background fantasy prop sheet,wan2.7-image,ok,assets/wan2.7-image_FTV-13.png,"Create an animation prop sheet on a plain transparent-looking checker-free white background: eight separate fantasy props for a streaming animated series, including enchanted compass, brass lantern, folded map, crystal vial, wooden mask, ancient key, travel satchel, and small mechanical bird. Clean isolated objects, consistent hand-painted style, sharp silhouettes, production-ready asset spacing, no text.",,,Film & TV; Fantasy; Props; Transparent Asset; No-text production asset
Film & TV,Film & TV,FTV-01,American superhero comics,Superhero character production turnaround,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-01.png,"Create an original American superhero comic character production sheet, not based on any existing IP. Show one African American female hero in a sleek blue and silver suit: front, side, back views plus four head expressions. Clean white studio background, crisp comic ink, controlled cel shading, accurate proportions, consistent costume details. Use empty margin boxes only; no annotations, no letters, no words, no logos.",,,Film & TV; USA; Superhero; Character Design; Costume Design
Film & TV,Film & TV,FTV-01,American superhero comics,Superhero character production turnaround,wan2.7-image,ok,assets/wan2.7-image_FTV-01.png,"Create an original American superhero comic character production sheet, not based on any existing IP. Show one African American female hero in a sleek blue and silver suit: front, side, back views plus four head expressions. Clean white studio background, crisp comic ink, controlled cel shading, accurate proportions, consistent costume details. Use empty margin boxes only; no annotations, no letters, no words, no logos.",,,Film & TV; USA; Superhero; Character Design; Costume Design
Film & TV,Film & TV,FTV-05,Japanese sports anime,Basketball anime team key visual,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-05.png,"Create an original Japanese sports anime key visual for a high school basketball series, not any existing franchise. Five teen players sprint across an indoor court, dynamic perspective, clean cel animation, sharp jersey silhouettes, dramatic arena lights. Add exactly one large Japanese title, copied character-for-character: 最後のブザー. No brackets, no subtitle, no other text, no logos.",,,Film & TV; Japan; Legal; Sports; Japanese text; Multilingual text test; No-text production asset
Film & TV,Film & TV,FTV-12,Indian streaming thriller,Monsoon thriller prop-and-scene board,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-12.png,"Create a production design board for an Indian streaming thriller set during Mumbai monsoon. Arrange six clean visual tiles: rain-soaked apartment corridor, evidence envelope, cracked phone, train platform, police jeep reflection, protagonist close-up. Realistic thriller tone, teal and amber grade, consistent lighting. Use plain white separators only. No labels, no title bars, no numbers, no text, no logos.",,,Film & TV; India; Thriller; Props; Production Board; Lighting Study; Set Design; No-text production asset
Film & TV,Film & TV,FTV-12,Indian streaming thriller,Monsoon thriller prop-and-scene board,wan2.7-image,ok,assets/wan2.7-image_FTV-12.png,"Create a production design board for an Indian streaming thriller set during Mumbai monsoon. Arrange six clean visual tiles: rain-soaked apartment corridor, evidence envelope, cracked phone, train platform, police jeep reflection, protagonist close-up. Realistic thriller tone, teal and amber grade, consistent lighting. Use plain white separators only. No labels, no title bars, no numbers, no text, no logos.",,,Film & TV; India; Thriller; Props; Production Board; Lighting Study; Set Design; No-text production asset
Film & TV,Film & TV,FTV-14,Storyboard from references,Scene storyboard contact sheet,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-14.png,"Create a 6-panel cinematic storyboard sheet for a multicultural ensemble heist series. Same team across panels: East Asian hacker, Black driver, Latina negotiator, Arab architect. Show planning table, elevator entry, security corridor, vault door, silent alarm close-up, rooftop escape. Strong silhouettes, consistent wardrobe colors, clear camera angles. Use clean panel borders only, no captions, no labels, no title, no text.",,,Film & TV; Heist; Storyboard; No-text production asset; Diverse casting
Film & TV,Film & TV,FTV-14,Storyboard from references,Scene storyboard contact sheet,wan2.7-image,ok,assets/wan2.7-image_FTV-14.png,"Create a 6-panel cinematic storyboard sheet for a multicultural ensemble heist series. Same team across panels: East Asian hacker, Black driver, Latina negotiator, Arab architect. Show planning table, elevator entry, security corridor, vault door, silent alarm close-up, rooftop escape. Strong silhouettes, consistent wardrobe colors, clear camera angles. Use clean panel borders only, no captions, no labels, no title, no text.",,,Film & TV; Heist; Storyboard; No-text production asset; Diverse casting
Film & TV,Film & TV,FTV-15,Turkish dizi,Historic waterfront romance key art,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-15.png,"Create a vertical key art poster for a Turkish dizi romance set on the Bosphorus. A Turkish architect and a widowed restaurant owner stand on opposite sides of a ferry deck at golden hour, Istanbul skyline in the distance, emotional restraint, elegant wardrobe, premium serialized drama tone. Include exactly one Turkish title: Kalbin Kıyısı. No subtitles, no logos, no extra text.",,,Film & TV; Turkey; Romance; Drama; Poster & Key Art; No-text production asset
Film & TV,Film & TV,FTV-16,Nollywood family drama,Lagos ensemble family poster,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-16.png,"Create a vertical poster for a contemporary Nollywood family drama in Lagos. Three generations of a Nigerian family stand in front of a modern compound during a tense reunion: grandmother in elegant gele, ambitious daughter in business attire, musician son, younger cousins. Warm natural light, rich fabrics, grounded emotion, cinematic streaming poster. Include exactly one English title: House on Allen Avenue. No other text.",,,Film & TV; Nigeria; Family drama; Drama; Poster & Key Art; English text; Multilingual text test
Film & TV,Film & TV,FTV-16,Nollywood family drama,Lagos ensemble family poster,wan2.7-image,ok,assets/wan2.7-image_FTV-16.png,"Create a vertical poster for a contemporary Nollywood family drama in Lagos. Three generations of a Nigerian family stand in front of a modern compound during a tense reunion: grandmother in elegant gele, ambitious daughter in business attire, musician son, younger cousins. Warm natural light, rich fabrics, grounded emotion, cinematic streaming poster. Include exactly one English title: House on Allen Avenue. No other text.",,,Film & TV; Nigeria; Family drama; Drama; Poster & Key Art; English text; Multilingual text test
Film & TV,Film & TV,FTV-17,Bollywood musical,Song sequence costume color board,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-17.png,"Create a Bollywood musical costume color board for a rooftop festival song. Arrange six clean tiles showing the same Indian lead couple in different coordinated outfits: marigold yellow, royal blue, crimson, ivory, emerald, and silver. Dance-ready fabrics, jewelry details, monsoon city lights, production design realism, no labels, no text, no logos.",,,Film & TV; India; Music; Dance; Costume Design; Production Board; Set Design; No-text production asset
Film & TV,Film & TV,FTV-17,Bollywood musical,Song sequence costume color board,wan2.7-image,ok,assets/wan2.7-image_FTV-17.png,"Create a Bollywood musical costume color board for a rooftop festival song. Arrange six clean tiles showing the same Indian lead couple in different coordinated outfits: marigold yellow, royal blue, crimson, ivory, emerald, and silver. Dance-ready fabrics, jewelry details, monsoon city lights, production design realism, no labels, no text, no logos.",,,Film & TV; India; Music; Dance; Costume Design; Production Board; Set Design; No-text production asset
Film & TV,Film & TV,FTV-19,Indonesian horror,Rural supernatural horror still,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-19.png,"Create a realistic production still for an Indonesian supernatural horror film in a rural Javanese village. A young woman in a modest modern outfit stands at the edge of a banyan tree clearing at blue hour, oil lamp glow, distant villagers, humid atmosphere, restrained dread, practical location lighting, no monsters visible, no text, no logos.",,,Film & TV; Indonesia; Horror; Production Still; Lighting Study; No-text production asset
Film & TV,Film & TV,FTV-19,Indonesian horror,Rural supernatural horror still,wan2.7-image,ok,assets/wan2.7-image_FTV-19.png,"Create a realistic production still for an Indonesian supernatural horror film in a rural Javanese village. A young woman in a modest modern outfit stands at the edge of a banyan tree clearing at blue hour, oil lamp glow, distant villagers, humid atmosphere, restrained dread, practical location lighting, no monsters visible, no text, no logos.",,,Film & TV; Indonesia; Horror; Production Still; Lighting Study; No-text production asset
Film & TV,Film & TV,FTV-20,Filipino romantic comedy,Manila rom-com streaming thumbnail,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-20.png,"Create a vertical streaming thumbnail for a Filipino romantic comedy set in Manila. A Filipino bakery owner and a delivery app rider almost collide outside a colorful neighborhood bakery, flour in the air, warm comedy timing, authentic street details, bright but natural color grade. Include exactly one Tagalog title: Maling Hatid. No subtitle, no logos, no extra text.",,,Film & TV; Philippines; Romance; Comedy; Poster & Key Art; Tagalog text; Multilingual text test
Film & TV,Film & TV,FTV-20,Filipino romantic comedy,Manila rom-com streaming thumbnail,wan2.7-image,ok,assets/wan2.7-image_FTV-20.png,"Create a vertical streaming thumbnail for a Filipino romantic comedy set in Manila. A Filipino bakery owner and a delivery app rider almost collide outside a colorful neighborhood bakery, flour in the air, warm comedy timing, authentic street details, bright but natural color grade. Include exactly one Tagalog title: Maling Hatid. No subtitle, no logos, no extra text.",,,Film & TV; Philippines; Romance; Comedy; Poster & Key Art; Tagalog text; Multilingual text test
Film & TV,Film & TV,FTV-21,Nordic noir,Detective evidence wall and cold exterior,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-21.png,"Create a two-panel production reference image for a Nordic noir limited series. Left panel: Swedish detective office with an evidence wall made of blank photos and red string but no readable notes. Right panel: lone detective walking beside a frozen harbor at dawn. Cold restrained palette, realistic winter clothing, quiet dread, no text, no logos.",,,Film & TV; Nordic; Crime; Noir; Reference-driven; No-text production asset
Film & TV,Film & TV,FTV-21,Nordic noir,Detective evidence wall and cold exterior,wan2.7-image,ok,assets/wan2.7-image_FTV-21.png,"Create a two-panel production reference image for a Nordic noir limited series. Left panel: Swedish detective office with an evidence wall made of blank photos and red string but no readable notes. Right panel: lone detective walking beside a frozen harbor at dawn. Cold restrained palette, realistic winter clothing, quiet dread, no text, no logos.",,,Film & TV; Nordic; Crime; Noir; Reference-driven; No-text production asset
Film & TV,Film & TV,FTV-22,French auteur drama,Paris apartment natural-light scene,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-22.png,"Create a realistic French auteur drama production still in a small Paris apartment kitchen at 7 AM. A Senegalese-French mother and her teenage daughter sit silently after an argument, coffee cups untouched, soft window light, cramped lived-in details, natural acting, 35mm film texture, restrained color, no readable text or logos.",,,Film & TV; France; Drama; Production Still; No-text production asset
Film & TV,Film & TV,FTV-22,French auteur drama,Paris apartment natural-light scene,wan2.7-image,ok,assets/wan2.7-image_FTV-22.png,"Create a realistic French auteur drama production still in a small Paris apartment kitchen at 7 AM. A Senegalese-French mother and her teenage daughter sit silently after an argument, coffee cups untouched, soft window light, cramped lived-in details, natural acting, 35mm film texture, restrained color, no readable text or logos.",,,Film & TV; France; Drama; Production Still; No-text production asset
Film & TV,Film & TV,FTV-23,German sci-fi,Near-future transit VFX concept plate,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-23.png,"Create a VFX concept plate for a German near-future sci-fi series. A sleek autonomous tram glides through a rainy Berlin street with subtle holographic wayfinding made of abstract blank shapes, cyclists and commuters, realistic architecture, grounded technology, overcast light, production-ready matte-painting realism. No readable text, no logos.",,,Film & TV; Germany; Sci-fi; VFX; No-text production asset
Film & TV,Film & TV,FTV-23,German sci-fi,Near-future transit VFX concept plate,wan2.7-image,ok,assets/wan2.7-image_FTV-23.png,"Create a VFX concept plate for a German near-future sci-fi series. A sleek autonomous tram glides through a rainy Berlin street with subtle holographic wayfinding made of abstract blank shapes, cyclists and commuters, realistic architecture, grounded technology, overcast light, production-ready matte-painting realism. No readable text, no logos.",,,Film & TV; Germany; Sci-fi; VFX; No-text production asset
Film & TV,Film & TV,FTV-24,Spanish heist thriller,Mask and costume prop sheet,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-24.png,"Create a prop and costume sheet for an original Spanish heist thriller, not based on any existing series. Isolated on clean white background: four distinct anonymous masks, red utility jacket, black gloves, encrypted radio, duffel bag, glass cutter, metro map with blank lines. Realistic materials, production-ready spacing, no labels, no text, no logos.",,,Film & TV; Spain; Thriller; Heist; Props; Costume Design; No-text production asset
Film & TV,Film & TV,FTV-24,Spanish heist thriller,Mask and costume prop sheet,wan2.7-image,ok,assets/wan2.7-image_FTV-24.png,"Create a prop and costume sheet for an original Spanish heist thriller, not based on any existing series. Isolated on clean white background: four distinct anonymous masks, red utility jacket, black gloves, encrypted radio, duffel bag, glass cutter, metro map with blank lines. Realistic materials, production-ready spacing, no labels, no text, no logos.",,,Film & TV; Spain; Thriller; Heist; Props; Costume Design; No-text production asset
Film & TV,Film & TV,FTV-25,Brazilian favela drama,Rio night exterior scene,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-25.png,"Create a respectful cinematic still for a Brazilian urban drama in Rio de Janeiro. A young Afro-Brazilian community organizer walks through a hillside neighborhood at night after a power outage, neighbors with flashlights in windows, distant city lights, grounded realism, dignity, social drama tone, no weapons, no text, no logos.",,,Film & TV; Brazil; Drama; Production Still; No-text production asset
Film & TV,Film & TV,FTV-25,Brazilian favela drama,Rio night exterior scene,wan2.7-image,ok,assets/wan2.7-image_FTV-25.png,"Create a respectful cinematic still for a Brazilian urban drama in Rio de Janeiro. A young Afro-Brazilian community organizer walks through a hillside neighborhood at night after a power outage, neighbors with flashlights in windows, distant city lights, grounded realism, dignity, social drama tone, no weapons, no text, no logos.",,,Film & TV; Brazil; Drama; Production Still; No-text production asset
Film & TV,Film & TV,FTV-26,Mexican supernatural mystery,Day of the Dead mystery poster,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-26.png,"Create a vertical poster for a Mexican supernatural mystery series. A Mexican forensic photographer stands in a quiet cemetery during Día de Muertos dawn, marigold paths, family candles, faint ghostly silhouette in the background, elegant mystery tone, respectful cultural detail. Include exactly one Spanish title: Las Luces del Alba. No other text or logos.",,,Film & TV; Spain; Mexico; Family drama; Mystery; Poster & Key Art; No-text production asset
Film & TV,Film & TV,FTV-27,Native American contemporary drama,Reservation community center still,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-27.png,"Create a realistic production still for a contemporary Native American family drama. Inside a reservation community center basketball court, a young Indigenous coach talks quietly with a teenage player after practice, elders watching from folding chairs, lived-in gym details, warm overhead lights, respectful modern wardrobe, no text, no logos.",,,Film & TV; Native American; USA; Family drama; Drama; Legal; Production Still; No-text production asset; Indigenous representation
Film & TV,Film & TV,FTV-27,Native American contemporary drama,Reservation community center still,wan2.7-image,ok,assets/wan2.7-image_FTV-27.png,"Create a realistic production still for a contemporary Native American family drama. Inside a reservation community center basketball court, a young Indigenous coach talks quietly with a teenage player after practice, elders watching from folding chairs, lived-in gym details, warm overhead lights, respectful modern wardrobe, no text, no logos.",,,Film & TV; Native American; USA; Family drama; Drama; Legal; Production Still; No-text production asset; Indigenous representation
Film & TV,Film & TV,FTV-28,Australian Aboriginal mystery,Outback procedural key frame,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-28.png,"Create a cinematic key frame for an Australian outback mystery series. An Aboriginal detective and a young forensic ranger examine tire tracks near a dry riverbed at sunrise, red earth, practical field gear, respectful contemporary depiction, wide anamorphic composition, natural light, no text, no logos.",,,Film & TV; Australia; Crime; Mystery; Production Still; No-text production asset; Indigenous representation
Film & TV,Film & TV,FTV-28,Australian Aboriginal mystery,Outback procedural key frame,wan2.7-image,ok,assets/wan2.7-image_FTV-28.png,"Create a cinematic key frame for an Australian outback mystery series. An Aboriginal detective and a young forensic ranger examine tire tracks near a dry riverbed at sunrise, red earth, practical field gear, respectful contemporary depiction, wide anamorphic composition, natural light, no text, no logos.",,,Film & TV; Australia; Crime; Mystery; Production Still; No-text production asset; Indigenous representation
Film & TV,Film & TV,FTV-29,Maori fantasy adventure,Creature and hero concept sheet,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-29.png,"Create a respectful fantasy adventure concept sheet inspired by Aotearoa landscapes without using sacred markings or real tribal designs. Show a young Māori navigator in practical woven-and-leather travel clothing and a friendly river-spirit creature made of mist and stone. Include front hero pose, creature side view, small scale comparison, clean white background, no text.",,,Film & TV; Aotearoa; Fantasy; Indigenous representation
Film & TV,Film & TV,FTV-30,Caribbean pirate drama,Ship deck lighting variants,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-30.png,"Create a production lighting study for an original Caribbean pirate drama. Four square panels show the same ship deck scene with a Black Caribbean captain and mixed crew: dawn fog, noon sun, storm dusk, lantern night. Historically inspired but original wardrobe, practical ship details, consistent blocking, no captions, no text, no logos.",,,Film & TV; Caribbean; Drama; Adventure; Production Board; Lighting Study; No-text production asset
Film & TV,Film & TV,FTV-30,Caribbean pirate drama,Ship deck lighting variants,wan2.7-image,ok,assets/wan2.7-image_FTV-30.png,"Create a production lighting study for an original Caribbean pirate drama. Four square panels show the same ship deck scene with a Black Caribbean captain and mixed crew: dawn fog, noon sun, storm dusk, lantern night. Historically inspired but original wardrobe, practical ship details, consistent blocking, no captions, no text, no logos.",,,Film & TV; Caribbean; Drama; Adventure; Production Board; Lighting Study; No-text production asset
Film & TV,Film & TV,FTV-31,Arab Gulf luxury drama,Dubai corporate family poster,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_FTV-31.png,"Create a vertical poster for an Arab Gulf corporate family drama. A Gulf Arab businesswoman in elegant modern modest fashion stands in a glass boardroom overlooking Dubai at sunset, two rival relatives reflected behind her, premium family power struggle tone. Include exactly one Arabic title: ميراث الرمل. No subtitle, no logos, no other text.",,,Film & TV; Gulf; Family drama; Drama; Poster & Key Art; No-text production asset
